"year","parameter","site_no","val"
"2015","63680","01311875",2.37631578947368
"2015","90860","01302250",25.8202739726027
"2015","90860","01302845",25.1198895027624
"2015","90860","01304057",27.8087671232877
"2015","90860","01304200",29.7991643454039
"2015","90860","01304562",26.1619883040936
"2015","90860","01310740",31.3977715877437
"2015","90860","01311143",30.8435582822086
"2015","90860","01311875",29.8636363636364
"2016","00010","01302250",13.396511627907
"2016","00010","01302845",13.7781512605042
"2016","00010","01304057",13.372131147541
"2016","00010","01304200",12.0095384615385
"2016","00010","01304562",14.3294943820225
"2016","00010","01310740",13.3385245901639
"2016","00010","01311143",14.8360465116279
"2016","00010","01311875",13.8207182320442
"2016","00300","01304057",8.93397260273973
"2016","00300","01304200",9.12852760736196
"2016","00300","01304562",6.9
"2016","00300","01310740",8.63934426229508
"2016","00300","01311143",8.51420118343195
"2016","62361","01304562",7.47565217391304
"2016","62361","01310740",8.06153846153846
"2016","62619","01302250",3.8948087431694
"2016","62619","01302600",2.07021857923497
"2016","62619","01302845",1.95158469945355
"2016","62619","01304057",2.07393442622951
"2016","62619","01304200",0.897225274725275
"2016","62619","01304562",0.754254143646409
"2016","62619","01309225",1.40344262295082
"2016","62619","01310521",1.27251366120219
"2016","62619","01310740",1.22043715846995
"2016","62619","01311143",1.30052054794521
"2016","62619","01311145",1.04253443526171
"2016","62619","01311850",1.07338797814208
"2016","62619","01311875",1.08809917355372
"2016","63680","01304057",6.68504155124654
"2016","63680","01304200",3.30870870870871
"2016","63680","01304562",18.7134078212291
"2016","63680","01310740",5.48551532033426
"2016","63680","01311143",3.20552325581395
"2016","63680","01311875",3.2036253776435
"2016","90860","01302250",27.0219298245614
"2016","90860","01302845",25.7056022408964
"2016","90860","01304057",28.4169398907104
"2016","90860","01304200",29.8150306748466
"2016","90860","01304562",26.372268907563
"2016","90860","01310740",31.803313253012
"2016","90860","01311143",30.262865497076
"2016","90860","01311875",30.1139393939394
"2017","00010","01302250",13.5456043956044
"2017","00010","01302845",13.4303370786517
"2017","00010","01304057",12.9553719008264
"2017","00010","01304200",11.8107255520505
"2017","00010","01304562",13.5098461538462
